channel,train_auc,test_auc
093,1.0,0.7334525939177102
148,1.0,0.704830053667263
112,0.9166666666666669,0.7048300536672629
138,1.0,0.6994633273703041
144,0.5833333333333333,0.6833631484794276
098,1.0,0.6636851520572451
117,0.9166666666666669,0.663685152057245
139,1.0,0.6583184257602862
140,1.0,0.6457960644007156
123,0.5833333333333333,0.6386404293381037
109,1.0,0.6332737030411449
132,1.0,0.6243291592128801
135,1.0,0.6171735241502683
105,0.5833333333333333,0.59391771019678
102,0.6666666666666667,0.590339892665474
110,1.0,0.5867620751341682
120,1.0,0.5867620751341682
103,1.0,0.5867620751341681
146,1.0,0.5813953488372092
107,1.0,0.5813953488372092
134,1.0,0.5796064400715564
108,1.0,0.5706618962432916
096,1.0,0.5688729874776386
092,1.0,0.5635062611806797
129,0.75,0.5617173524150268
113,1.0,0.556350626118068
111,1.0,0.5491949910554562
130,0.9166666666666669,0.5438282647584973
095,1.0,0.5438282647584973
142,1.0,0.5313059033989267
115,1.0,0.5277280858676208
145,0.9166666666666669,0.5205724508050089
100,1.0,0.5116279069767442
106,1.0,0.5044722719141324
104,0.75,0.4937388193202147
128,1.0,0.4865831842576029
094,0.6666666666666667,0.4865831842576029
124,0.9166666666666669,0.4865831842576029
136,1.0,0.4722719141323793
099,1.0,0.4525939177101967
126,0.9166666666666669,0.443649373881932
119,1.0,0.4347048300536673
118,1.0,0.4329159212880143
143,0.9166666666666669,0.4257602862254025
137,1.0,0.4257602862254024
133,0.6666666666666667,0.40608228980322
147,1.0,0.4025044722719141
122,1.0,0.3971377459749552
127,1.0,0.3953488372093023
141,1.0,0.3846153846153846
116,1.0,0.3774597495527728
131,1.0,0.3738819320214669
101,1.0,0.3685152057245081
097,1.0,0.3613595706618963
125,0.5833333333333333,0.3595706618962433
114,0.9166666666666669,0.3237924865831842
121,1.0,0.2987477638640429
