metric,value
channel,EMU038_inspection_clipped_bipolar_ch001
n_class1,431
n_class2,431
tau1,35
tau2,34
train_auc,1.0
test_auc,0.4621480949273018
train_acc,1.0
test_acc,0.45784543325526933
n_train,8
n_test,854
