metric,value
channel,EMU038_inspection_clipped_bipolar_ch006
n_class1,431
n_class2,431
tau1,35
tau2,34
train_auc,0.875
test_auc,0.376221007080607
train_acc,0.625
test_acc,0.4098360655737705
n_train,8
n_test,854
