metric,value
channel,EMU039_outcome_clipped_bipolar_ch142
n_class1,49
n_class2,15
tau1,35
tau2,34
train_auc,1.0
test_auc,0.5313059033989267
train_acc,1.0
test_acc,0.6785714285714286
n_train,8
n_test,56
