metric,value
channel,EMU039_outcome_clipped_bipolar_ch103
n_class1,49
n_class2,15
tau1,35
tau2,34
train_auc,1.0
test_auc,0.5867620751341681
train_acc,1.0
test_acc,0.7142857142857143
n_train,8
n_test,56
