metric,value
channel,EMU038_inspection_clipped_bipolar_ch007
n_class1,431
n_class2,431
tau1,35
tau2,34
train_auc,0.875
test_auc,0.6671456542842882
train_acc,0.875
test_acc,0.5690866510538641
n_train,8
n_test,854
