metric,value
channel,EMU038_inspection_clipped_bipolar_ch003
n_class1,431
n_class2,431
tau1,35
tau2,34
train_auc,0.75
test_auc,0.4515354112620592
train_acc,0.875
test_acc,0.45081967213114754
n_train,8
n_test,854
