metric,value
channel,EMU039_outcome_clipped_bipolar_ch099
n_class1,49
n_class2,15
tau1,35
tau2,34
train_auc,1.0
test_auc,0.45259391771019675
train_acc,0.875
test_acc,0.5714285714285714
n_train,8
n_test,56
