metric,value
channel,EMU038_inspection_clipped_bipolar_ch002
n_class1,431
n_class2,431
tau1,35
tau2,34
train_auc,0.75
test_auc,0.4592138387201159
train_acc,0.75
test_acc,0.48711943793911006
n_train,8
n_test,854
