metric,value
channel,EMU038_inspection_clipped_bipolar_ch004
n_class1,431
n_class2,431
tau1,35
tau2,34
train_auc,0.5
test_auc,0.4119476331247361
train_acc,0.625
test_acc,0.4929742388758782
n_train,8
n_test,854
