metric,value
channel,EMU038_inspection_clipped_bipolar_ch005
n_class1,431
n_class2,431
tau1,35
tau2,34
train_auc,0.875
test_auc,0.4869768385720319
train_acc,0.75
test_acc,0.4953161592505855
n_train,8
n_test,854
